vivado
design,0,1,2,3,4
ch_intrinsics.v,7.512768268585205,7.603140115737915,7.503649473190308,7.524824857711792,7.876347064971924
LU32PEEng_ram.v,197.4036989212036,196.41459774971008,198.828195810318,196.84540152549744,196.83977246284485
mkPktMerge.v,9.109253168106079,9.357260704040527,9.186761379241943,9.068487405776978,9.437267065048218
LU8PEEng_ram.v,75.76896286010742,76.81186389923096,76.57839560508728,76.25489687919617,75.90954327583313
or1200.v,23.02450942993164,22.184939861297607,22.50143337249756,23.003093481063843,22.4779691696167
spree.v,13.179290294647217,13.277437210083008,13.325172901153564,13.281282901763916,13.339098930358887
stereovision0.v,77.62360429763794,78.96016001701355,78.18978261947632,78.28448343276978,78.30654215812683
arm_core.v,120.4559555053711,120.30805087089539,119.41054821014404,121.26078677177429,119.45721244812012
mkDelayWorker32B.v,31.429466485977173,31.649484395980835,31.10073685646057,31.85168170928955,31.36063861846924
boundtop.v,36.095139503479004,35.90539884567261,36.023770332336426,36.00412106513977,36.24825859069824
bgm.v,555.4765033721924,552.6636500358582,553.4749338626862,550.0861961841583,555.2603540420532
raygentop.v,27.675954818725586,29.148475408554077,27.019312381744385,28.66223120689392,27.194671154022217
multiclock_reader_writer.v,6.548448801040649,6.56328272819519,7.755220413208008,6.738232851028442,6.571980237960815
blob_merge.v,64.53711771965027,70.73979759216309,67.54179883003235,67.0368857383728,66.56571459770203
stereovision1.v,60.15798354148865,60.421040296554565,62.460081577301025,67.9751706123352,60.717246532440186
mkSMAdapter4B.v,11.760052680969238,12.495137214660645,11.799347162246704,13.02224326133728,12.534982204437256
multiclock_output_and_latch.v,6.460812330245972,7.0369627475738525,6.6953136920928955,7.313637733459473,7.484205722808838
sha.v,18.458205699920654,18.82264757156372,18.655835151672363,18.39545440673828,18.509305953979492
stereovision2.v,96.7975332736969,103.78284788131714,101.94595670700073,97.2700560092926,96.89301943778992
